Date,AAPL,AMZN,BLK,BND,GLD,JPM,MSFT,QQQ,SPY,XOM
2022-11-11,147.3372802734375,100.79000091552734,711.8049926757812,63.34450149536133,164.55999755859375,124.45816040039062,240.11354064941406,281.8291320800781,380.2842712402344,101.28516387939453
2022-11-14,145.939697265625,98.48999786376953,680.9349975585938,63.14071273803711,164.9199981689453,123.17957305908203,234.71099853515625,279.36273193359375,377.04925537109375,101.58084869384766
2022-11-15,147.67190551757812,98.94000244140625,680.1632690429688,63.5837287902832,165.5,122.28731536865234,235.11907958984375,283.2286682128906,380.26513671875,102.26181030273438
2022-11-16,146.441650390625,97.12000274658203,667.9620971679688,63.9470329284668,165.1199951171875,122.45287322998047,235.54782104492188,279.36273193359375,377.3642578125,101.16868591308594
2022-11-17,148.3411865234375,94.8499984741211,662.7069091796875,63.68120574951172,163.9199981689453,121.9193344116211,235.49908447265625,278.7461853027344,376.2095031738281,101.3030776977539
2022-11-18,148.90219116210938,94.13999938964844,662.0636596679688,63.574886322021484,162.7899932861328,123.11517333984375,235.05087280273438,278.7559814453125,377.9176940917969,100.42498779296875
2022-11-21,145.67393493652344,92.45999908447266,664.9026489257812,63.574886322021484,161.8800048828125,122.38848876953125,235.85964965820312,275.88836669921875,376.54345703125,99.43041229248047
2022-11-22,147.8096923828125,93.19999694824219,673.860595703125,63.9027214050293,162.07000732421875,124.218994140625,238.76341247558594,279.8619079589844,381.61065673828125,102.30660247802734
2022-11-23,148.6856689453125,94.12999725341797,676.497314453125,64.29258728027344,163.0800018310547,125.54363250732422,241.2482147216797,282.6708679199219,384.0154724121094,101.79588317871094
2022-11-25,145.7723846435547,93.41000366210938,677.8386840820312,64.29258728027344,163.22000122070312,125.78279876708984,241.16050720214844,280.8112487792969,383.9295349121094,101.43749237060547
2022-11-28,141.9437713623047,93.94999694824219,662.578125,64.21284484863281,161.92999267578125,123.58432006835938,235.57705688476562,276.6908874511719,377.80322265625,98.39104461669922
2022-11-29,138.94192504882812,92.41999816894531,655.9906005859375,63.973602294921875,162.72999572753906,125.61723327636719,234.18362426757812,274.596435546875,377.1543273925781,99.04513549804688
2022-11-30,145.69363403320312,96.54000091552734,657.8281860351562,64.46981048583984,164.80999755859375,127.10739135742188,248.61485290527344,287.1141662597656,389.034912109375,99.76193237304688
2022-12-01,145.96922302246094,95.5,663.5061645507812,65.007080078125,167.83999633789062,125.32286071777344,248.17636108398438,287.46649169921875,388.7485656738281,99.27808380126953
2022-12-02,145.4771270751953,94.12999725341797,655.0537109375,65.27348327636719,167.25999450683594,124.32939147949219,248.4979248046875,286.32135009765625,388.3000793457031,98.43584442138672
2022-12-05,144.31573486328125,91.01000213623047,654.8515014648438,64.7584228515625,164.38999938964844,120.84310150146484,243.80120849609375,281.5159912109375,381.31488037109375,95.73884582519531
2022-12-06,140.6544647216797,88.25,657.0808715820312,64.97157287597656,164.83999633789062,121.04549407958984,238.8511199951172,275.6828308105469,375.8182373046875,93.07769012451172
